Method,Fatigue Life [seconds]
Gao Moan,3.6432623863704673e+27
Sakai Okamura,5.526656721825355e+25
Wirsching Light,4.349707766986824e+25
Tovo Benasciutti 2,3.919728869361176e+25
Tovo Benasciutti 3,3.8365779553377847e+25
Single Moment,3.6449074827593037e+25
Low 2014,3.6137235352131855e+25
Huang Moan,3.600337726236439e+25
Park,3.5540511723817907e+25
Jun Park,3.545856157200746e+25
Zhao Baker 1,3.5259893918013873e+25
Dirlik,3.467954440923149e+25
Zhao Baker 2,3.4337090672779245e+25
Alpha 0.75,3.4066872306788397e+25
Ortiz Chen,3.280939216421779e+25
Narrowband,2.980001891723596e+25
Tovo Benasciutti 1,2.980001891723596e+25
Modified Fu Cebon,1.6671187007089624e+25
Jiao Moan,1.6667937359187343e+25
Fu Cebon,1.4655788054895245e+25
Lotsberg,5.492905436078214e+24
Bands Method,1.880480711521216e+22
